Order_ID,Category,Box_Qty,Qty,Supp-,Logistics_Vendor,Priority_Phase,Arrival_Date,QC_Handover_Date,Verification_Completion_Date,System_Input_Completion_Date,System_Input_Completion_Time,System_Input_Frequency,Return_Status,Issue_Description
ORD-1001,MARKB,5,350,Supp-A,Logistics-1,Full Batch,2025-11-29,2025-11-29,2025-12-01,2025-12-02,10:38:23,1,No,Duplicate SN during input
ORD-1002,ORBT,2,90,Supp-B,Logistics-1,Full Batch,2025-11-29,2025-11-29,2025-12-02,2025-12-02,12:49:26,1,No,-
ORD-1003,LED,23,400,Supp-C,Logistics-1,Phase 1,2025-12-01,2025-12-02,2025-12-02,2025-12-02,16:17:49,2,No,Phase 1
ORD-1003,LED,23,495,Supp-C,Logistics-1,Phase 2,2025-12-01,2025-12-02,2025-12-03,2025-12-03,9:35:40,1,Yes,Phase 2
ORD-1004,CG,26,1300,Supp-B,Logistics-1,Full Batch,2025-12-01,2025-12-02,2025-12-04,2025-12-04,9:30:44,2,No,-
ORD-1005,CG,74,3660,Supp-D,Logistics-1,Full Batch,2025-12-11,2025-12-12,2025-12-15,2025-12-15,16:38:39,1,Yes,-
ORD-1006,KB,23,1405,Supp-E,Logistics-1,Full Batch,2025-12-11,2025-12-12,2025-12-15,2025-12-16,8:05:46,1,Yes,Physical item mismatch with system
ORD-1007,MARKB,15,1115,Supp-A,Logistics-2,Full Batch,2025-12-11,2025-12-13,2025-12-16,2025-12-16,16:43:20,1,No,-
ORD-1008,KB,17,1000,Supp-E,Logistics-1,Full Batch,2025-12-11,2025-12-13,2025-12-17,2025-12-18,8:38:09,1,Yes,Physical item mismatch with system
ORD-1009,SSD,7,2803,Supp-U,Logistics-3,Full Batch,2025-12-13,2025-12-13,2025-12-17,2025-12-17,16:10:50,4,No,Duplicate SN with old stock
ORD-1010,MARBT,117,5225,Supp-N,Logistics-1,Full Batch,2025-12-15,2025-12-18,2025-12-26,2025-12-18,16:52:52,3,No,-
ORD-1011,LED,16,435,Supp-G,Logistics-1,Full Batch,2025-12-15,2025-12-17,2025-12-19,2025-12-19,10:52:17,1,Yes,-
ORD-1012,KB,29,1885,Supp-H,Logistics-1,Full Batch,2025-12-17,2025-12-18,2025-12-22,2025-12-22,15:55:12,2,No,-
ORD-1013,LED,49,1495,Supp-I,Logistics-1,Full Batch,2025-12-19,2025-12-20,2025-12-24,2025-12-26,8:12:41,1,Yes,Duplicate SN during input
ORD-1014,ORBT,21,805,Supp-J,Logistics-2,Full Batch,2025-12-11,2025-12-16,2025-12-24,2025-12-26,16:12:23,2,No,Missing physical label
ORD-1015,MARKB,10,730,Supp-H,Logistics-1,Full Batch,2025-12-17,2025-12-19,2025-12-26,2025-12-27,9:14:13,1,No,Missing hologram
ORD-1016,KB,6,320,Supp-I,Logistics-1,Full Batch,2025-12-19,2025-12-20,2025-12-26,2025-12-27,9:06:37,1,No,-
ORD-1017,LED,54,480,Supp-C,Logistics-1,Phase 1,2025-12-22,2025-12-23,2025-12-26,2025-12-27,9:04:32,1,No,Phase 1
ORD-1017,LED,54,1355,Supp-C,Logistics-1,Phase 2,2025-12-22,2025-12-23,2025-12-29,2025-12-29,15:20:11,1,Yes,Phase 2
ORD-1017,LED,2,60,Supp-C,Logistics-U,Phase 3,2025-12-30,2025-12-30,2025-12-30,2025-12-30,13:54:27,1,No,Phase 3
ORD-1018,ORBT,12,460,Supp-B,Logistics-2,Full Batch,2025-12-27,2025-12-27,2025-12-30,2025-12-31,8:01:31,1,No,-
ORD-1019,LED,34,1285,Supp-I,Logistics-4,Full Batch,2025-12-24,2025-12-27,2025-12-31,2025-12-31,11:28:30,3,Yes,-
ORD-1020,CG,49,2440,Supp-B,Logistics-2,Full Batch,2025-12-27,2025-12-30,2026-01-02,2026-01-05,8:29:36,2,No,-
ORD-1021,KB,49,2934,Supp-K,Logistics-1,Full Batch,2025-12-22,2025-12-30,2026-01-07,2026-01-08,12:13:33,5,No,-
ORD-1022,ORBT,27,1100,Supp-J,Logistics-1,Full Batch,2025-12-16,2025-12-29,2026-01-09,2026-01-09,16:49:03,2,No,-
ORD-1023,CG,66,3300,Supp-D,Logistics-2,Full Batch,2025-12-27,2025-12-31,2026-01-10,2026-01-12,11:40:25,3,No,-
ORD-1024,KB,11,530,Supp-I,Logistics-4,Full Batch,2025-12-24,2025-12-30,2026-01-12,2026-01-12,10:36:20,1,No,-
ORD-1025,KB,7,435,Supp-A,Logistics-1,Full Batch,2026-01-13,2026-01-14,2026-01-15,2026-01-15,14:51:05,1,No,-
ORD-1026,CG,44,3765,Supp-L,Logistics-1,Full Batch,2026-01-13,2026-01-15,2026-01-19,2026-01-19,13:57:19,4,No,-
ORD-1027,SSD,4,1565,Supp-U,Logistics-3,Full Batch,2026-01-20,2026-01-20,2026-01-21,2026-01-21,15:03:41,2,No,-
ORD-1028,MARKB,16,1195,Supp-A,Logistics-1,Full Batch,2026-01-22,2026-01-23,2026-01-26,2026-01-27,9:06:38,1,No,-
ORD-1029,LED,17,441,Supp-M,Logistics-1,Full Batch,2026-01-22,2026-01-23,2026-01-26,2026-01-27,8:29:24,1,No,-
ORD-1030,MARKB,11,710,Supp-H,Logistics-1,Full Batch,2026-01-22,2026-01-26,2026-01-30,2026-01-31,15:33:24,4,No,-
ORD-1031,KB,58,3759,Supp-H,Logistics-1,Full Batch,2026-01-22,2026-01-24,2026-01-30,2026-01-30,13:16:37,1,No,-
